OA Code,LA Name,Region Name,OAC11UK0039
E00158060,North Warwickshire,West Midlands,27.8688524590164,
E00158061,North Warwickshire,West Midlands,20.5426356589147,
E00158065,North Warwickshire,West Midlands,11.377245508982,
E00158069,North Warwickshire,West Midlands,15.6565656565657,
E00053081,Wolverhampton,West Midlands,39.4833948339483,
E00053267,Wolverhampton,West Midlands,38.7234042553192,
E00053264,Wolverhampton,West Midlands,49.8154981549816,
E00053260,Wolverhampton,West Midlands,30.8411214953271,
E00053261,Wolverhampton,West Midlands,34.6666666666667,
E00053268,Wolverhampton,West Midlands,43.3734939759036,
E00053269,Wolverhampton,West Midlands,40.2214022140221,
E00158252,North Warwickshire,West Midlands,30.2040816326531,
E00158257,North Warwickshire,West Midlands,24.4897959183673,
E00131257,Hinckley and Bosworth,East Midlands,22.0216606498195,
E00158560,Nuneaton and Bedworth,West Midlands,19.1729323308271,
E00158566,Nuneaton and Bedworth,West Midlands,19.1126279863481,
E00053078,Wolverhampton,West Midlands,35,
E00053079,Wolverhampton,West Midlands,15.9259259259259,
E00052844,Wolverhampton,West Midlands,10.8527131782946,
E00052842,Wolverhampton,West Midlands,18.3333333333333,
E00158410,Nuneaton and Bedworth,West Midlands,13.6029411764706,
E00158491,Nuneaton and Bedworth,West Midlands,7.48031496062992,
E00158497,Nuneaton and Bedworth,West Midlands,5.5045871559633,
E00158416,Nuneaton and Bedworth,West Midlands,17.1428571428571,
E00158414,Nuneaton and Bedworth,West Midlands,3.10077519379845,
E00158495,Nuneaton and Bedworth,West Midlands,14.5098039215686,
E00167348,Wolverhampton,West Midlands,16.0130718954248,
E00158483,Nuneaton and Bedworth,West Midlands,7.66283524904215,
E00158402,Nuneaton and Bedworth,West Midlands,9.04977375565611,
E00158480,Nuneaton and Bedworth,West Midlands,17.6,
E00158401,Nuneaton and Bedworth,West Midlands,12.6865671641791,
E00158408,Nuneaton and Bedworth,West Midlands,4.7970479704797,
E00052785,Wolverhampton,West Midlands,8.87096774193548,
E00170683,Hinckley and Bosworth,East Midlands,30.7086614173228,
E00052653,Wolverhampton,West Midlands,11.8518518518519,
E00053177,Wolverhampton,West Midlands,13.8211382113821,
E00158127,North Warwickshire,West Midlands,27.7777777777778,
E00158129,North Warwickshire,West Midlands,30.3501945525292,
E00158078,North Warwickshire,West Midlands,20.1834862385321,
E00052848,Wolverhampton,West Midlands,23.9583333333333,
E00052849,Wolverhampton,West Midlands,33.9449541284404,
E00053092,Wolverhampton,West Midlands,27.4900398406374,
E00053091,Wolverhampton,West Midlands,36.1022364217252,
E00053099,Wolverhampton,West Midlands,36.2745098039216,
E00158397,Nuneaton and Bedworth,West Midlands,19.0265486725664,
E00158316,Nuneaton and Bedworth,West Midlands,20.7006369426752,
E00053275,Wolverhampton,West Midlands,23.5059760956175,
E00053270,Wolverhampton,West Midlands,27.2727272727273,
E00158578,Nuneaton and Bedworth,West Midlands,13.7362637362637,
E00158552,Nuneaton and Bedworth,West Midlands,38.3333333333333,
E00052587,Wolverhampton,West Midlands,7.52688172043011,
E00158557,Nuneaton and Bedworth,West Midlands,20.5223880597015,
E00052583,Wolverhampton,West Midlands,12.6373626373626,
E00052581,Wolverhampton,West Midlands,7.95454545454545,
E00052589,Wolverhampton,West Midlands,3.6036036036036,
E00052795,Wolverhampton,West Midlands,12.890625,
E00158135,North Warwickshire,West Midlands,17.4242424242424,
E00052855,Wolverhampton,West Midlands,37.6865671641791,
E00131041,Hinckley and Bosworth,East Midlands,14.2857142857143,
E00158314,Nuneaton and Bedworth,West Midlands,15.8620689655172,
E00167346,Wolverhampton,West Midlands,17.3708920187793,
E00158542,Nuneaton and Bedworth,West Midlands,31.2267657992565,
E00158547,Nuneaton and Bedworth,West Midlands,32.4110671936759,
E00158545,Nuneaton and Bedworth,West Midlands,25.9541984732824,
E00158640,Nuneaton and Bedworth,West Midlands,32.824427480916,
E00158644,Nuneaton and Bedworth,West Midlands,24.8888888888889,
E00052633,Wolverhampton,West Midlands,15.807560137457,
E00158103,North Warwickshire,West Midlands,22.4264705882353,
E00158182,North Warwickshire,West Midlands,20.3252032520325,
E00158186,North Warwickshire,West Midlands,16.2337662337662,
E00158107,North Warwickshire,West Midlands,6.22710622710623,
E00158109,North Warwickshire,West Midlands,10.9022556390977,
E00158188,North Warwickshire,West Midlands,15.5172413793103,
E00131187,Hinckley and Bosworth,East Midlands,17.9166666666667,
E00131181,Hinckley and Bosworth,East Midlands,15.4867256637168,
E00131180,Hinckley and Bosworth,East Midlands,22.8571428571429,
E00131186,Hinckley and Bosworth,East Midlands,20,
E00053064,Wolverhampton,West Midlands,38.5245901639344,
E00165814,Nuneaton and Bedworth,West Midlands,18.3520599250936,
E00053060,Wolverhampton,West Midlands,37.9661016949153,
E00168286,Nuneaton and Bedworth,West Midlands,15,
E00158282,Nuneaton and Bedworth,West Midlands,10.4072398190045,
E00158281,Nuneaton and Bedworth,West Midlands,12.2362869198312,
E00158204,North Warwickshire,West Midlands,18.5873605947955,
E00158205,North Warwickshire,West Midlands,18.705035971223,
E00131202,Hinckley and Bosworth,East Midlands,18.1818181818182,
E00131203,Hinckley and Bosworth,East Midlands,28.8389513108614,
E00131200,Hinckley and Bosworth,East Midlands,23.2954545454545,
E00131201,Hinckley and Bosworth,East Midlands,17.7685950413223,
E00131206,Hinckley and Bosworth,East Midlands,17.0403587443946,
E00131207,Hinckley and Bosworth,East Midlands,22.2627737226277,
E00131205,Hinckley and Bosworth,East Midlands,17.4603174603175,
E00131208,Hinckley and Bosworth,East Midlands,12.8834355828221,
E00158462,Nuneaton and Bedworth,West Midlands,12.0689655172414,
E00158461,Nuneaton and Bedworth,West Midlands,29.4339622641509,
E00158467,Nuneaton and Bedworth,West Midlands,20.9059233449477,
E00158468,Nuneaton and Bedworth,West Midlands,15.2249134948097,
